listing_id,zipcode,latitude,longitude,property_type,room_type,bathrooms,bedrooms,beds,minimum_nights,host_listings_count,instant_bookable,cancellation_policy,is_business_travel_ready,price_per_person,host_is_superhost
49052437,,35.63522,-82.4603,Entire residential home,Entire home/apt,,2,2,3,1,t,,,107,t
49052453,,35.5862,-82.55428,Entire townhouse,Entire home/apt,,3,3,2,1,t,,,71.5,t
49070464,,35.57976,-82.5858,Entire townhouse,Entire home/apt,,2,2,3,0,t,,,29.75,t
49086595,,35.57363,-82.58601,Entire guest suite,Entire home/apt,,2,3,2,0,f,,,25,t
49093110,,35.53743,-82.51623,Entire residential home,Entire home/apt,,3,2,30,0,t,,,37.25,f
49152916,,35.61529,-82.47731,Entire residential home,Entire home/apt,,3,4,1,175,t,,,43.16666667,t
49154831,,35.53413,-82.51485,Entire guest suite,Entire home/apt,,,2,2,2,t,,,36.75,t
49155406,,35.54865,-82.61465,Entire residential home,Entire home/apt,,3,5,2,0,f,,,31.75,t
49171098,,35.57693,-82.6405,Bus,Entire home/apt,,1,2,1,1,t,,,67,t
49178262,,35.59021,-82.62809,Farm stay,Entire home/apt,,,1,2,0,t,,,62.5,t
49179476,,35.56632,-82.5194,Entire apartment,Entire home/apt,,3,3,14,0,t,,,30,f
49186464,,35.6193,-82.65815,Entire house,Entire home/apt,,2,3,2,1,t,,,23,f
49187614,,35.51649,-82.59417,Entire residential home,Entire home/apt,,2,2,2,0,f,,,37.25,t
49198746,,35.59795,-82.61103,Entire guest suite,Entire home/apt,,1,1,2,0,f,,,28,f
49205622,,35.57773,-82.63926,Camper/RV,Entire home/apt,,1,1,1,1,t,,,26.5,t
49228803,,35.65055,-82.52899,Entire residential home,Entire home/apt,,4,4,1,110,t,,,58.125,f
49231039,,35.59107,-82.53554,Entire guest suite,Entire home/apt,,1,2,2,0,f,,,58.5,t
49232318,,35.57536,-82.63941,Tiny house,Entire home/apt,,1,2,1,1,t,,,46,t
49232645,,35.58943,-82.55061,Entire condominium (condo),Entire home/apt,,2,2,1,110,t,,,49.16666667,t
49232646,,35.62427,-82.52743,Entire cottage,Entire home/apt,,1,2,1,110,t,,,126,t
49241261,,35.47724,-82.49668,Entire residential home,Entire home/apt,,2,2,5,0,f,,,50,f
49243841,,35.5853,-82.48875,Entire bungalow,Entire home/apt,,1,1,30,4,t,,,27,t
49255591,,35.56538,-82.5198,Entire apartment,Entire home/apt,,3,3,15,0,t,,,19,f
49270741,,35.57225,-82.59217,Entire residential home,Entire home/apt,,2,2,1,0,t,,,41,t
49284012,,35.63852,-82.60889,Entire guest suite,Entire home/apt,,1,1,1,0,t,,,47,t
49291580,,35.61491,-82.54344,Entire residential home,Entire home/apt,,5,6,14,0,t,,,103.375,f
49338161,,35.47884,-82.51164,Entire cabin,Entire home/apt,,3,4,2,1,t,,,33.16666667,t
49338673,,35.65104,-82.52638,Tiny house,Entire home/apt,,,1,2,4,f,,,67,f
49361421,,35.6032,-82.56608,Entire guest suite,Entire home/apt,,1,1,2,0,t,,,47.5,t
49364839,,35.63153,-82.62885,Farm stay,Entire home/apt,,,1,3,1,t,,,31,t
49381620,,35.44448,-82.51997,Entire guest suite,Entire home/apt,,3,3,2,0,t,,,19.16666667,t
49383838,,35.47497,-82.50576,Entire residential home,Entire home/apt,,3,5,2,0,t,,,40.66666667,t
49401018,,35.55582,-82.50391,Entire residential home,Entire home/apt,,4,5,3,0,f,,,37.75,t
49402207,,35.62136,-82.61726,Farm stay,Entire home/apt,,2,2,2,1,t,,,52.2,t
49403726,,35.584366,-82.572952,Private room in residential home,Private room,,1,1,30,1,f,,,30,f
49405884,,35.62893,-82.58075,Shipping container,Entire home/apt,,2,2,2,3,t,,,47.5,t
49438516,,35.55142,-82.50329,Entire cottage,Entire home/apt,,2,2,2,716,t,,,27,f
49443439,,35.46285,-82.57695,Entire guesthouse,Entire home/apt,,1,1,2,0,f,,,43,t
49463884,,35.50776,-82.60976,Entire residential home,Entire home/apt,,4,6,3,1,f,,,39.55555556,t
49467252,,35.5098,-82.60715,Entire residential home,Entire home/apt,,3,7,3,0,f,,,16.25,t
49468364,,35.59092,-82.55274,Entire condominium (condo),Entire home/apt,,2,3,1,110,t,,,49.16666667,t
49484290,,35.46411,-82.5764,Entire guesthouse,Entire home/apt,,1,1,2,0,f,,,41,t
49495510,,35.46154,-82.58843,Entire residential home,Entire home/apt,,4,6,2,198,t,,,18.5,f
49503229,,35.60076,-82.48111,Entire residential home,Entire home/apt,,1,1,3,0,f,,,62.5,t
49503489,,35.59663,-82.62328,Camper/RV,Entire home/apt,,1,,1,2,f,,,37,f
49503879,,35.60471,-82.56521,Entire residential home,Entire home/apt,,5,7,2,5,f,,,142.4166667,f
49506016,,35.47595,-82.51669,Private room in residential home,Private room,,1,1,2,1,t,,,42.5,f
49513241,,35.58069,-82.50414,Entire residential home,Entire home/apt,,2,2,2,1,t,,,55,t
49516666,,35.59169,-82.54953,Private room in hostel,Private room,,7,7,2,7,f,,,34.72727273,t
49520761,,35.57624,-82.571,Entire residential home,Entire home/apt,,2,2,30,0,f,,,35,f
49544765,,35.58317,-82.58009,Private room in residential home,Private room,,1,1,2,0,f,,,40,t
49565047,,35.51175,-82.65912,Entire residential home,Entire home/apt,,5,7,3,708,t,,,32.35714286,f
49589050,,35.62522,-82.54926,Entire guest suite,Entire home/apt,,1,1,2,1,t,,,97.5,t
49591553,,35.59635,-82.60959,Private room in rental unit,Private room,,1,1,2,0,t,,,20,t
49595881,,35.60019,-82.47027,Entire residential home,Entire home/apt,,5,5,3,2,t,,,39.9,t
49607077,,35.57857,-82.59394,Entire residential home,Entire home/apt,,3,2,20,1,t,,,14.33333333,f
49629268,,35.46906,-82.56756,Entire guest suite,Entire home/apt,,1,2,1,0,t,,,35,t
49630964,,35.59763,-82.55214,Entire loft,Entire home/apt,,,1,2,0,t,,,102,t
49632867,,35.53796,-82.64677,Entire residential home,Entire home/apt,,3,4,4,0,f,,,37.5,f
49635615,,35.6098,-82.55395,Camper/RV,Entire home/apt,,1,,3,1,f,,,24,t
